Step    PotEng
2880000 0.00627686912980775
2880050 0.159357594255827
2880100 0.00633359633042454
2880150 0.000395572245713316
2880200 0.00902849287496016
2880250 0.0593198226889749
2880300 0.264335273525217
2880350 0.00244434766491373
2880400 0.351484253728719
2880450 0.0608382361163234
2880500 0.0149282686651907
2880550 0.00471923130175039
2880600 0.000814087790494991
2880650 0.000927053611626638
2880700 0.0377901627666404
2880750 0.0122758794927313
2880800 0.00653123952370876
2880850 1.93463537852486
2880900 0.0083890682007904
2880950 0.000401257449481982
2881000 0.00781150078634421
2881050 0.0259265850458944
2881100 0.00202489055713437
2881150 0.602207270288893
2881200 0.0568373462441179
2881250 0.0362234218398451
2881300 0.46090650636613
2881350 0.0326844520880142
2881400 0.000775799169074298
2881450 0.00158108939725912
2881500 0.00660363635379053
2881550 0.0249718233377718
2881600 0.00447625394421276
2881650 0.00148603589758864
2881700 0.00270192059954721
2881750 0.000849904886265985
2881800 0.000962511186162032
2881850 7.56274752036455e-05
2881900 0.000926290613048443
2881950 0.0235849226731377
2882000 0.016026294210763
2882050 0.184910860207018
2882100 0.0285451286198768
2882150 0.0023456879382414
2882200 0.00316198258874832
2882250 0.0300014135191969
2882300 0.0132060545217856
2882350 0.00210833374882728
2882400 0.00175693560656778
2882450 0.00574201295566759
2882500 0.062062515898701
2882550 0.0411030414335619
2882600 0.0044020568278574
2882650 0.165465126880001
2882700 0.020436186872218
2882750 0.00181580865081114
2882800 0.000853201714418625
2882850 0.00194433736742489
2882900 0.0956402943612828
2882950 0.0117056698140484
2883000 0.0205615243236936
2883050 0.813337850655316
2883100 0.00685969025833781
2883150 0.000238110535756155
2883200 0.00194308435831863
2883250 0.0308737893866682
2883300 0.0444058349817831
2883350 0.00559043508716137
2883400 0.00488300045944409
2883450 0.0337028720955238
2883500 0.00673118422904966
2883550 0.000681248298901877
2883600 0.000691101257000245
2883650 0.00114133689790085
2883700 0.000938122531228226
2883750 0.00644380663553012
2883800 0.15970187434664
2883850 0.0515285262981897
2883900 0.241938043448521
2883950 0.0161050031375003
2884000 0.00853430813833756
2884050 0.00274122674942871
2884100 0.0104313446218442
2884150 1.19400987114742
2884200 0.00199166727644366
2884250 0.000890303794781102
2884300 0.00120951341932146
2884350 0.000593188347472208
2884400 0.00160845307023133
2884450 0.000178753083500712
2884500 0.000102878306432104
2884550 0.000123345220245903
2884600 2.86468656023934e-05
2884650 0.0053937978837864
2884700 0.252613503366654
2884750 0.0234903062693078
2884800 0.00338734029762142
2884850 0.146060533256051
2884900 0.0125644329601129
2884950 3.12076418184679
2885000 0.000257905710118552
2885050 0.000346994355821613
2885100 0.0194199748891438
2885150 0.0693015059577115
2885200 0.220223598839138
2885250 0.00298932185782349
2885300 0.00605736094607985
2885350 0.107612187270482
2885400 0.509783133367679
2885450 0.0619737131338713
2885500 0.0032870356380833
2885550 0.00130494543008705
2885600 0.00280069013340823
2885650 0.00803531767975216
2885700 0.0200270332518551
2885750 0.147124037097539
2885800 0.471540671094063
2885850 0.0126916104984482
2885900 0.416263063037654
2885950 0.0234207827800446
2886000 0.00230616729200457
2886050 0.0080878922548346
2886100 0.0266268352321083
2886150 0.00144067908739642
2886200 0.000161729838286133
2886250 0.0138682466510686
2886300 0.0183915880298773
2886350 0.000518723029107111
2886400 0.000980583782165829
2886450 0.00155015521355848
2886500 0.097808429761149
2886550 0.0155144641056622
2886600 0.0378713497354858
2886650 0.623818754672553
2886700 0.0510262430727225
2886750 0.0755271111241239
2886800 0.0899165352670859
2886850 0.000783548935633458
2886900 0.000223710855271261
2886950 5.01309647979557e-06
2887000 0.000281008639091308
2887050 0.00526645658425478
2887100 0.000889142440537833
2887150 0.000168245664214771
2887200 0.000970169833860084
2887250 0.00642964003188216
2887300 0.333045682602818
2887350 0.0449347348358367
2887400 0.00865198694777217
2887450 0.0146198847238581
2887500 0.183527919045646
2887550 0.000779280537538163
2887600 0.00352964878695669
2887650 0.00562932640873012
2887700 0.000596326026732269
2887750 0.000474805312170936
2887800 0.00465432963796691
2887850 0.0515492776712502
2887900 0.00254299969320097
2887950 0.000694171636704255
2888000 0.00117905495482915
2888050 0.0017347975757521
2888100 0.0214174193530999
2888150 0.00747779371139473
2888200 0.0624475927352119
2888250 0.283354876619682
2888300 0.00593202004549747
2888350 0.691948200486936
2888400 0.00804591454814748
2888450 0.00077638015232706
2888500 0.000311532799714637
2888550 0.000547191544951169
2888600 0.00235952923560817
2888650 0.0179796891354716
2888700 0.655031651810056
2888750 0.0213450802307033
2888800 0.00280804463046
2888850 0.00701582287933542
2888900 0.00385600880183524
2888950 0.0202508045906138
2889000 0.0170510041958703
2889050 0.0985675130543647
2889100 0.0909099016991149
2889150 0.0144841282269835
2889200 0.00377043663792634
2889250 0.00264486653369789
2889300 0.0591841478360151
2889350 1.11638021448409
2889400 0.0143769215939525
2889450 0.000797535822117538
2889500 0.00213590403989431
2889550 0.0911825352841814
2889600 0.0141137888182069
2889650 0.0337261075437082
2889700 0.062904663060266
2889750 0.00563366763894862
2889800 0.00443415943004943
2889850 0.00413165440835598
2889900 0.104491365686295
2889950 0.0463857664117682
2890000 0.0210126957575575
2890050 2.49082066157191
2890100 0.0320559529805857
2890150 0.0396829366262574
2890200 0.000926096126013453
2890250 0.000458251641373154
2890300 0.00154945246828597
2890350 0.0572716304361859
2890400 0.104475719810572
2890450 0.00637111660384915
2890500 0.00371183785248501
2890550 0.00290427009754423
2890600 0.000652211508227509
2890650 0.000220804241336622
2890700 0.00293547409040246
2890750 0.000926362003129016
2890800 0.00377396975581428
2890850 0.00290310509152336
2890900 0.0065016490054012
2890950 0.00551425492511414
2891000 0.00485812178884889
2891050 0.0364446585250061
2891100 0.0395497978731791
2891150 0.420510779563627
2891200 0.0557140958505293
2891250 0.00467967042103971
2891300 0.0071555542958373
2891350 0.0016364650552837
2891400 0.378859348014655
2891450 0.00785892364290659
2891500 0.00439948828936792
2891550 0.0234449473913324
2891600 0.00386974416885858
2891650 0.00398435195713447
2891700 0.00361430711464984
2891750 0.00852989935033868
2891800 0.000568452017797246
2891850 0.000656694148250663
2891900 0.00770323847427012
2891950 1.55922083262746
2892000 0.01543123862251
2892050 0.000512168417512129
2892100 0.00144226146575308
2892150 0.0179591876849959
2892200 0.412837784816277
2892250 0.00362395240537505
2892300 0.000779082201791046
2892350 0.0283610986488453
2892400 1.16922864140426
2892450 0.0200564607057199
2892500 0.0452184036342464
2892550 0.0947543106092504
2892600 0.0343896671780527
2892650 0.0073788495387648
2892700 0.0120544202931729
2892750 0.859148289943897
2892800 0.398719021062451
2892850 0.00681750699969426
2892900 0.000113959297492456
2892950 0.000221324104091977
2893000 0.000258539489650657
2893050 0.0194093422356527
2893100 1.14232043280977
2893150 0.00443211970769639
2893200 0.00560060035473111
2893250 0.0664796871119608
2893300 0.0362668771947438
2893350 0.430461564252202
2893400 0.146923773394032
2893450 0.000294560345863296
2893500 0.00030407798021747
2893550 0.000102708194537369
2893600 1.16711329437826e-05
2893650 3.32417947439263e-05
2893700 0.143031697827878
2893750 0.0135817548648427
2893800 0.00073007447019832
2893850 0.00940797332318098
2893900 0.029339582780881
2893950 0.0151703392936061
2894000 0.012267813778513
2894050 0.0764717399215691
2894100 0.210724884220683
2894150 0.0016938534760726
2894200 0.00173008300088071
2894250 0.00086602933816739
2894300 0.0012695713810725
2894350 0.104992928501994
2894400 0.0325129453324251
2894450 0.000847791784947479
2894500 0.000368834593295197
2894550 0.000431455037364709
2894600 0.000939587951648963
2894650 0.00131493725041122
2894700 0.00434299123808408
2894750 0.0157478523836274
2894800 0.0112944071877608
2894850 0.307111893944444
2894900 0.00940762030467422
2894950 0.00396187696456611
2895000 0.0153096632015142
2895050 0.2574431223408
2895100 0.0672862397258762
2895150 0.163550127642962
2895200 0.00565177501339652
