Step    PotEng
240000 -4.90517658656551
240050 -6.5013977204416
240100 -7.70726964872983
240150 -5.28653875025656
240200 -3.68552157913346
240250 -5.53084528691268
240300 -6.18305537781174
240350 -3.67340661025144
240400 -7.09528247619834
240450 -5.86052625403708
240500 -6.21582365904674
240550 -4.96674451111298
240600 -3.81676371074035
240650 -4.49775262842999
240700 -1.55877928150346
240750 -6.96076799654287
240800 -3.96995085707392
240850 0.340903017105395
240900 -7.36925358099908
240950 -6.81800342474537
241000 -5.4480529399031
241050 -7.01976194381591
241100 -3.52572478835523
241150 -4.84755012817567
241200 -6.93509483580405
241250 -6.27479394715808
241300 -5.62799420223008
241350 -6.65629921725801
241400 -5.77150016363611
241450 -5.48736794654922
241500 -7.77396497443742
241550 -7.71178991520876
241600 -6.8889377643315
241650 -7.04934706661072
241700 -8.32006130352266
241750 -8.55947633788498
241800 -7.97618969370583
241850 -3.72234187994415
241900 -7.98965663057805
241950 -6.31281351450472
242000 -8.00160343653972
242050 -7.25369764076832
242100 -7.1115419863011
242150 -3.81480591611378
242200 -4.52520929387952
242250 -4.73911593157336
242300 -5.39560683443825
242350 -7.7903622972989
242400 -6.25320247006861
242450 -5.32580226001463
242500 -6.24607887423059
242550 -7.87998714853582
242600 -5.5825379303376
242650 -7.60573661269576
242700 -7.53484227727593
242750 -3.33259747562249
242800 -7.24083827389239
242850 -0.480574347742918
242900 -5.85802750463774
242950 -4.75898480879353
243000 -6.12046458169762
243050 -5.87958025243639
243100 -7.79422772488604
243150 -3.95435812063506
243200 -6.42217301189783
243250 -5.89317763043032
243300 -5.98103224300151
243350 -7.05022596464923
243400 -7.00546559870309
243450 -7.59000095960307
243500 -6.16420367885971
243550 -7.24197991010341
243600 -7.39647612134684
243650 -5.54513875911968
243700 -7.80475275218959
243750 -5.04474606197792
243800 -6.98846218345647
243850 -4.48391351537804
243900 -5.03764516721939
243950 -7.09849882499295
244000 -8.4443626621659
244050 -5.7022515385609
244100 -4.82840584343353
244150 -4.75788553934773
244200 -6.62682939242423
244250 -6.31251454141002
244300 -5.6547791693407
244350 -7.3825582066621
244400 -6.76816304169211
244450 -6.5629236464499
244500 -6.66710414871806
244550 -5.51981389855711
244600 -6.6187092288952
244650 -7.99781534523007
244700 -6.97009279884189
244750 -7.05508254827159
244800 -8.47618361792992
244850 -2.40812569842777
244900 -6.76176412876829
244950 -6.02761211733147
245000 -5.64925931089361
245050 -6.40272490739873
245100 -8.07187431532401
245150 -7.15458247770325
245200 -5.84886303946299
245250 -7.85816736644518
245300 -7.68658077024734
245350 -6.51297684562724
245400 -7.26365420844147
245450 -6.67739304665485
245500 -6.53955197872497
245550 -5.49443301760248
245600 -7.09089794830876
245650 -6.13573387004826
245700 -6.33634667887235
245750 -5.07948427607682
245800 -5.52668999981775
245850 -6.2158399931918
245900 -6.379212596227
245950 -7.39050339015574
246000 -6.82129293071
246050 -7.63896802775814
246100 -8.05399775783592
246150 -7.24221176461518
246200 -5.06547623743544
246250 -2.67819487064514
246300 -7.95327320849774
246350 -7.4821740411891
246400 -6.46985044231134
246450 -5.3004954389173
246500 -4.47923791040597
246550 -6.60888927068194
246600 -5.6008291792601
