thermo_style    custom step time temp ke pe etotal press vol f_tpi[1]
run             500000
Per MPI rank memory allocation (min/avg/max) = 3.654 | 3.654 | 3.654 Mbytes
Step Time Temp KinEng PotEng TotEng Press Volume f_tpi[1] 
   12900         25.8    1.3192618    1.9769138   -4.7807106   -2.8037968    1.8986825    1315.7895  0.021857079 
   12950         25.9    1.3447382    2.0150901   -4.7502433   -2.7351531    2.0661316    1315.7895    3.3882281 
   13000           26    1.3397862    2.0076697   -4.7617626   -2.7540929    2.0961507    1315.7895    1.7837207 
   13050         26.1    1.3239774    1.9839802   -4.7504275   -2.7664473    2.2365107    1315.7895    2.3862636 
   13100         26.2    1.3095029    1.9622901   -4.7852875   -2.8229974    2.0707955    1315.7895   -1.6333705 
   13150         26.3    1.3235581    1.9833519   -4.7716023   -2.7882504    2.1135526    1315.7895    4.9213801 
   13200         26.4    1.3280021    1.9900111   -4.7530792   -2.7630681     2.082823    1315.7895    4.7807272 
   13250         26.5    1.3469325    2.0183784   -4.7829261   -2.7645478    2.0237127    1315.7895  -0.88013197 
   13300         26.6    1.3733857    2.0580185   -4.7765087   -2.7184902    2.0099298    1315.7895   -1.5676233 
   13350         26.7    1.3660246    2.0469879   -4.7123258   -2.6653379    2.2825145    1315.7895    1.0527291 
   13400         26.8    1.3324201    1.9966316   -4.6658056    -2.669174    2.4743124    1315.7895    1.1565935 
   13450         26.9    1.3496847    2.0225025   -4.7008447   -2.6783422    2.3472249    1315.7895    3.5738399 
   13500           27    1.3592171    2.0367869   -4.6916954   -2.6549085    2.4166016    1315.7895    2.3234864 
   13550         27.1    1.3481908    2.0202639   -4.6965008   -2.6762369    2.3963831    1315.7895    3.2648901 
   13600         27.2    1.3954533    2.0910868   -4.7095937   -2.6185069    2.3344266    1315.7895    0.6554857 
   13650         27.3     1.395461    2.0910983   -4.7660039   -2.6749056    2.1329274    1315.7895    1.2310238 
   13700         27.4    1.4020059    2.1009058   -4.7678144   -2.6669086    2.1030527    1315.7895    4.7072969 
   13750         27.5    1.3964803    2.0926257   -4.7163759   -2.6237502    2.3292984    1315.7895    2.1088487 
   13800         27.6    1.3780765    2.0650477   -4.6986768   -2.6336291    2.3779812    1315.7895    5.8413134 
   13850         27.7     1.374854    2.0602188   -4.6983648    -2.638146    2.3274051    1315.7895    3.8863732 
   13900         27.8    1.3972734    2.0938142   -4.7118687   -2.6180545     2.290409    1315.7895    8.2542012 
   13950         27.9     1.433507    2.1481102   -4.7460694   -2.5979592    2.2501513    1315.7895    2.5747038 
   14000           28    1.3958225      2.09164   -4.6813933   -2.5897532    2.4996679    1315.7895    2.6928012 
   14050         28.1    1.4288458    2.1411254   -4.6603577   -2.5192323    2.5645979    1315.7895    1.6134948 
   14100         28.2    1.4327232    2.1469357   -4.6990293   -2.5520936    2.4661979    1315.7895    9.3641132 
   14150         28.3    1.4062871    2.1073213   -4.6485318   -2.5412105     2.653622    1315.7895    -1.292346 
   14200         28.4    1.4846416    2.2247355   -4.6929452   -2.4682097    2.5313449    1315.7895    1.0535769 
   14250         28.5    1.4262385    2.1372184   -4.6646805   -2.5274621    2.5561389    1315.7895   -0.6190301 
   14300         28.6    1.4300751    2.1429675   -4.6700378   -2.5270702    2.5363698    1315.7895   0.84867134 
   14350         28.7     1.484896    2.2251166   -4.7426754   -2.5175587    2.3179219    1315.7895   -1.1035545 
   14400         28.8    1.4109873    2.1143645   -4.6907538   -2.5763893    2.5171022    1315.7895   0.99310768 
   14450         28.9     1.371502    2.0551957   -4.7104909   -2.6552952    2.3477223    1315.7895    3.2659524 
   14500           29    1.3733231    2.0579247   -4.7528394   -2.6949148    2.1960657    1315.7895   -1.5091163 
   14550         29.1    1.3716075    2.0553539   -4.7605974   -2.7052436    2.1025661    1315.7895  -0.17124669 
   14600         29.2    1.3654207    2.0460829   -4.7466529     -2.70057    2.1114707    1315.7895    6.2473557 
   14650         29.3    1.3919345    2.0858138   -4.7173089   -2.6314951    2.2594305    1315.7895   -1.7244037 
   14700         29.4    1.3856851    2.0764492   -4.7335619   -2.6571127    2.2026258    1315.7895    5.4322946 
   14750         29.5    1.3948515     2.090185   -4.7267533   -2.6365683    2.2208418    1315.7895    4.2183181 
   14800         29.6    1.3866556    2.0779035   -4.7560697   -2.6781662    2.0849945    1315.7895    9.7926622 
   14850         29.7    1.4114812    2.1151046   -4.7553359   -2.6402313    2.1233644    1315.7895   -2.1299328 
   14900         29.8    1.4314103    2.1449683   -4.7353361   -2.5903678    2.2892828    1315.7895    3.0788391 
   14950         29.9    1.4539238    2.1787048     -4.69061   -2.5119052    2.4983381    1315.7895    4.5064115 
   15000           30    1.4027581     2.102033   -4.6879755   -2.5859425    2.4674188    1315.7895    2.1044389 
   15050         30.1    1.4240791    2.1339826   -4.6662493   -2.5322668      2.62556    1315.7895 -0.072534248 
   15100         30.2    1.5341081    2.2988609   -4.7742708   -2.4754098    2.1794681    1315.7895    4.6193566 
   15150         30.3    1.4415192    2.1601166   -4.7139589   -2.5538423    2.3711417    1315.7895   -1.0627106 
   15200         30.4     1.426313      2.13733   -4.6796139   -2.5422839    2.4894002    1315.7895    1.6569581 
   15250         30.5    1.4485304    2.1706229   -4.6838846   -2.5132617    2.5040302    1315.7895    1.1486491 
   15300         30.6    1.4514738    2.1750335   -4.6824053   -2.5073718    2.4532777    1315.7895   0.68123358 
   15350         30.7    1.4707066    2.2038538   -4.7249217   -2.5210679    2.2935056    1315.7895    1.2235496 
   15400         30.8    1.4569464    2.1832342   -4.6474719   -2.4642377    2.5843161    1315.7895   0.40481588 
   15450         30.9    1.4228822    2.1321889   -4.6981359    -2.565947    2.3319187    1315.7895    3.6193076 
   15500           31    1.4135625    2.1182235    -4.706185   -2.5879615    2.2971168    1315.7895   0.23053222 
   15550         31.1      1.39909    2.0965364   -4.7121048   -2.6155684    2.2755522    1315.7895    2.2617062 
   15600         31.2    1.3964735    2.0926155    -4.772587   -2.6799715    2.0391475    1315.7895  -0.60225408 
   15650         31.3    1.3883357     2.080421   -4.7734554   -2.6930344    2.0900968    1315.7895    -1.348695 
   15700         31.4    1.3547814    2.0301399   -4.7591349    -2.728995    2.0995277    1315.7895    9.3324374 
   15750         31.5    1.3639592    2.0438928   -4.7784402   -2.7345474    1.9942643    1315.7895   0.17334068 
   15800         31.6    1.3614845    2.0401846     -4.71682   -2.6766354    2.2540888    1315.7895    5.5604229 
   15850         31.7    1.3629238    2.0423413   -4.6876207   -2.6452793    2.3409743    1315.7895    5.5166948 
   15900         31.8    1.4024158    2.1015201   -4.7286314   -2.6271113    2.1905212    1315.7895 -0.0059404884 
   15950         31.9     1.419757    2.1275058   -4.6734864   -2.5459806    2.4692159    1315.7895    6.9849276 
   16000           32    1.4527721     2.176979   -4.6719724   -2.4949934    2.5028668    1315.7895  0.021772066 
   16050         32.1    1.4062839    2.1073164   -4.7189712   -2.6116548    2.2627527    1315.7895   -1.5314051 
   16100         32.2    1.3865587    2.0777583   -4.6939381   -2.6161798    2.4426473    1315.7895  -0.69895261 
   16150         32.3    1.4082912    2.1103243   -4.7311832   -2.6208588    2.3029393    1315.7895    1.3222344 
   16200         32.4    1.3981062    2.0950621   -4.8049425   -2.7098804    1.9176101    1315.7895 0.0088688494 
   16250         32.5    1.3054674    1.9562428   -4.7104042   -2.7541613    2.2672798    1315.7895    6.7313992 
   16300         32.6    1.3803029    2.0683839   -4.7557244   -2.6873405    2.1259259    1315.7895    1.6434797 
   16350         32.7    1.4099375    2.1127913   -4.7170371   -2.6042458    2.3133112    1315.7895    2.0679065 
   16400         32.8    1.3835237    2.0732103   -4.7071837   -2.6339734    2.2669711    1315.7895    4.4637247 
   16450         32.9    1.3870689    2.0785227    -4.729559   -2.6510363    2.1826242    1315.7895    4.9400473 
   16500           33    1.3913427     2.084927   -4.7292811   -2.6443541    2.1568793    1315.7895    3.2010228 
   16550         33.1    1.3706092    2.0538579     -4.72327   -2.6694121    2.2195487    1315.7895    1.8126524 
   16600         33.2     1.359527    2.0372512   -4.6853157   -2.6480645    2.4063084    1315.7895    3.6315206 
   16650         33.3     1.381143    2.0696427   -4.6908876   -2.6212449      2.38285    1315.7895    4.0858567 
   16700         33.4    1.4015477    2.1002193   -4.7588451   -2.6586259    2.0517412    1315.7895     3.321296 
   16750         33.5    1.3901932    2.0832045   -4.7507949   -2.6675904    2.0934414    1315.7895   0.12619856 
